employer_id,employer_name,employer_url,vacancy_id,vacancy_name,vacancy_url,query
4934,билайн,https://hh.ru/employer/4934,102784811,Оператор колл-центра на входящие обращения,https://hh.ru/vacancy/102784811,служба поддержки
9500850,РМО,https://hh.ru/employer/9500850,128872809,Менеджер по продажам,https://hh.ru/vacancy/128872809,служба поддержки
569205,Русские самоцветы,https://hh.ru/employer/569205,128829547,Продавец-консультант ювелирных изделий (ТРК Европолис),https://hh.ru/vacancy/128829547,служба поддержки
569205,Русские самоцветы,https://hh.ru/employer/569205,128330463,Продавец-консультант ювелирных изделий (ТРК Гранд Каньон),https://hh.ru/vacancy/128330463,служба поддержки
10070148,Инет Ком,https://hh.ru/employer/10070148,128363097,"Продавец-консультант POLARIS (ТЦ ""ХОРОШО!"")",https://hh.ru/vacancy/128363097,служба поддержки
569205,Русские самоцветы,https://hh.ru/employer/569205,125407754,"Продавец-консультант в ювелирный бутик ""Гранд Отель Европа""",https://hh.ru/vacancy/125407754,служба поддержки
569205,Русские самоцветы,https://hh.ru/employer/569205,128530982,Продавец-консультант ювелирных изделий (ТРК «Питер Радуга»),https://hh.ru/vacancy/128530982,служба поддержки
468,"Согласие, страховая компания",https://hh.ru/employer/468,128872659,Менеджер по работе с клиентами,https://hh.ru/vacancy/128872659,служба поддержки
3059571,ГБУЗ Центр паллиативной помощи ДЗМ,https://hh.ru/employer/3059571,128771460,Врач по паллиативной медицинской помощи выездной службы (м. Пыхтино),https://hh.ru/vacancy/128771460,служба поддержки
2276805,МебельКом,https://hh.ru/employer/2276805,127870831,Менеджер по работе с клиентами в мебельную компанию,https://hh.ru/vacancy/127870831,служба поддержки
104085,Многопрофильная клиника Скандинавия. Клиника репродукции Скандинавия АВА-ПЕТЕР,https://hh.ru/employer/104085,128872636,Оператор call-центра,https://hh.ru/vacancy/128872636,служба поддержки
60377,ITECO,https://hh.ru/employer/60377,128872576,Специалист по автомобильным перевозкам,https://hh.ru/vacancy/128872576,служба поддержки
5435527,Биосфера,https://hh.ru/employer/5435527,125175103,Менеджер по работе с клиентами (готовая база клиентов),https://hh.ru/vacancy/125175103,служба поддержки
176444,Charuel,https://hh.ru/employer/176444,128872605,Директор магазина/Управляющий магазином Calista (ДЦ Орджоникидзе),https://hh.ru/vacancy/128872605,служба поддержки
5435527,Биосфера,https://hh.ru/employer/5435527,127264286,Менеджер по работе с клиентами,https://hh.ru/vacancy/127264286,служба поддержки
990297,"Армада, группа компаний",https://hh.ru/employer/990297,128872589,Менеджер по продажам в салон связи t2,https://hh.ru/vacancy/128872589,служба поддержки
2523,М.Видео-Эльдорадо,https://hh.ru/employer/2523,128872588,Продавец техники ТЦ Ясень,https://hh.ru/vacancy/128872588,служба поддержки
3443,Банк ДОМ.РФ,https://hh.ru/employer/3443,128050314,Руководитель направления клиентского сопровождения корпоративного бизнеса,https://hh.ru/vacancy/128050314,служба поддержки
569205,Русские самоцветы,https://hh.ru/employer/569205,126573930,Продавец-консультант ювелирных изделий (ТРЦ МЕГА Белая Дача),https://hh.ru/vacancy/126573930,служба поддержки
569205,Русские самоцветы,https://hh.ru/employer/569205,124871915,Продавец-консультант ювелирных изделий (ТРЦ МЕГА Белая Дача),https://hh.ru/vacancy/124871915,служба поддержки
569205,Русские самоцветы,https://hh.ru/employer/569205,126572562,Продавец-консультант ювелирных изделий (ТРЦ МЕГА Белая Дача),https://hh.ru/vacancy/126572562,служба поддержки
80,Альфа-Банк,https://hh.ru/employer/80,128872555,Главный кредитный аналитик,https://hh.ru/vacancy/128872555,служба поддержки
80,Альфа-Банк,https://hh.ru/employer/80,128872556,Главный кредитный аналитик,https://hh.ru/vacancy/128872556,служба поддержки
80,Альфа-Банк,https://hh.ru/employer/80,128872557,Главный кредитный аналитик,https://hh.ru/vacancy/128872557,служба поддержки
569205,Русские самоцветы,https://hh.ru/employer/569205,116845846,Продавец-консультант ювелирных изделий (ТРЦ Европолис Ростокино),https://hh.ru/vacancy/116845846,служба поддержки
569205,Русские самоцветы,https://hh.ru/employer/569205,120291741,Продавец-консультант ювелирных изделий (ТРЦ Саларис),https://hh.ru/vacancy/120291741,служба поддержки
569205,Русские самоцветы,https://hh.ru/employer/569205,126510371,Продавец-консультант ювелирных изделий (ТЦ Метрополис),https://hh.ru/vacancy/126510371,служба поддержки
569205,Русские самоцветы,https://hh.ru/employer/569205,123133679,Управляющий ювелирным бутиком (ТРЦ Европолис Ростокино),https://hh.ru/vacancy/123133679,служба поддержки
569205,Русские самоцветы,https://hh.ru/employer/569205,126187456,Продавец-консультант ювелирных изделий (ТРЦ КОЛУМБУС),https://hh.ru/vacancy/126187456,служба поддержки
9727311,Octobergroup,https://hh.ru/employer/9727311,128872404,Ведущий менеджер по заселению (ЖК Stories и King & Sons),https://hh.ru/vacancy/128872404,служба поддержки
